category,playlist_id,playlist_name
afro,37i9dQZF1DWYkaDif7Ztbp,African Heat
afro,37i9dQZF1DX6036iaZ2MYP,Peppeh
afro,37i9dQZF1DX6BsbcWKm1XO,Gold Mine
afro,37i9dQZF1DWT6SJaitNDax,We Everywhere
afro,37i9dQZF1DX2TExIcUe1gg,Shuga Cane
afro,37i9dQZF1DWYs2pvwxWA7l,Afropop
afro,37i9dQZF1DXcIme26eJxid,Classic Afropop
afro,37i9dQZF1DWU4DdJqbjPl5,Tantalizers
afro,37i9dQZF1DXdl8xYyG9Dm1,No Wahala
afro,37i9dQZF1DX6eyIKoZCdug,Oya Dance
afro,37i9dQZF1DXaYLfJcKWFfF,Afro Indie
afro,37i9dQZF1DWX0o6sD1a6P5,Afro Hits
afro,37i9dQZF1DX0ItcQfwbKZJ,Afrobeat Essentials
afro,37i9dQZF1DXbBy2uugECqm,Highlife Fever
afro,37i9dQZF1DX0SlHbqMm3vJ,Ginger Me
afro,37i9dQZF1DX6y9ROoDQuOj,Gbedu
afro,37i9dQZF1DX0z1epx5KTtS,Coupe Decale
afro,37i9dQZF1DX6b6kXUCiUJb,Juju Masters
afro,37i9dQZF1DX5ja5oV6Kto0,Alte Cruise
afro,37i9dQZF1DX9Y4P09E4dNP,Hip-Life Hits
afro,37i9dQZF1DX1yR6DXScWaR,Definitive Fuji
afro,37i9dQZF1DX1l6qs3gcM4U,Dancing Kizomba
afro,37i9dQZF1DX3EbcelyrZPd,Bongo Flava
afro,37i9dQZF1DWVkyW4DM7wMY,Eastern Vibes
afro,37i9dQZF1DX8Q8vgP3md04,Ethio-Pop
afro,37i9dQZF1DX15iTqq2X8NE,Sudan Sounds
afro,37i9dQZF1DXbKudQCcJmwF,Sonko Sounds
afro,37i9dQZF1DXcadB69DKC8c,Tezeta
afro,37i9dQZF1DWVjZCGc7Q5hw,Rumba Lingala
afro,37i9dQZF1DX76L9P7wUf6A,Soukous Stars
afro,37i9dQZF1DXcNdPSCaTGoa,SA Gold
afro,37i9dQZF1DX9wXOYagay8L,Made In South Africa
afro,37i9dQZF1DWX4IFcj5utrY,House Nation
afro,37i9dQZF1DWVEcPtggpQMu,Hip Hop Juice
afro,37i9dQZF1DX2xhOTSp6PjQ,Maskandi Favourites
afro,37i9dQZF1DX9mHcd54VItZ,SA Rock Essentials
afro,37i9dQZF1DWY7TEf86LRjN,Welcome To Zamrock
afro,37i9dQZF1DX35vibahyjHG,Phenomenal Woman
