category,playlist_id,playlist_name
rock,37i9dQZF1DWXRqgorJj26U,Rock Classics
rock,37i9dQZF1DWWGFQLoP9qlv,Legendary
rock,37i9dQZF1DX1rVvRgjX59F,90s Rock Anthems
rock,37i9dQZF1DX6xOPeSOGone,Soft Rock
rock,37i9dQZF1DX8FwnYE6PRvL,Rock Party
rock,37i9dQZF1DX3oM43CtKnRV,00s Rock Anthems
rock,37i9dQZF1DX2UXfvEIZvDK,Modern Chill Rock
rock,37i9dQZF1DWWRktbhJiuqL,Pure Rock & Roll
rock,37i9dQZF1DX1spT6G94GFC,80s Rock Anthems
rock,37i9dQZF1DWWwzidNQX6jx,70s Rock Anthems
rock,37i9dQZF1DXcF6B6QPhFDv,Rock This
rock,37i9dQZF1DX82Zzp6AKx64,Power Ballads
rock,37i9dQZF1DX9stbPFTxeaB,"Funky, Heavy, Bluesy"
rock,37i9dQZF1DWSlJG7YPUBHF,Legendary Guitar Solos
rock,37i9dQZF1DXb3m918yXHxA,Yacht Rock
rock,37i9dQZF1DWWzBc3TOlaAV,60s Rock Anthems
rock,37i9dQZF1DX11ghcIxjcjE,Grunge Forever
rock,37i9dQZF1DX0rCrO4CFRfM,Acoustic Rock
rock,37i9dQZF1DX0xLQsW8b5Zx,Rockabilly Mania
rock,37i9dQZF1DX99DRG9N39X3,10s Rock Anthems
rock,37i9dQZF1DX5OUjSS1OMgV,One More Rep
rock,37i9dQZF1DX2aneNMeYHQ8,Rockin' Vibes
rock,37i9dQZF1DWSDoVybeQisg,Psychedelic Rock
rock,37i9dQZF1DX2S9rTKTX6JP,Rock Covers
rock,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard
rock,37i9dQZF1DX49jUV2NfGku,Rock Solid
rock,37i9dQZF1DWWH0izG4erma,Country Rocks
rock,37i9dQZF1DX6W1iI3ggF1N,Pop Rock Shot
rock,37i9dQZF1DWXs1L3AC0Xio,Rock Ballads
rock,37i9dQZF1DX3YMp9n8fkNx,'90s Pop Rock Essentials
rock,37i9dQZF1DWXMJdkLQRrmg,Stripped Down
rock,37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock
rock,37i9dQZF1DWY6vTWIdZ54A,Dirty Rock
rock,37i9dQZF1DWXsvIAf8Ytjl,Drum Mania
rock,37i9dQZF1DXbDjX0hus3Iu,Southern Rock 101
rock,37i9dQZF1DXcDnIr0iKAG8,Rock Save the Queen
rock,37i9dQZF1DXdpVGstUksUC,Stoner Rock
rock,37i9dQZF1DX1X7WV84927n,Hard Rock
rock,37i9dQZF1DX35DWKgAk2B5,Indie Rock Club
rock,37i9dQZF1DXdnZT5DhATDx,Game of Thrones: The End is Coming
rock,37i9dQZF1DWZjmJmeiazwd,Rock Gaming
rock,37i9dQZF1DX23YPJntYMnh,Funk Rock
rock,37i9dQZF1DX82GYcclJ3Ug,The New Alt
rock,37i9dQZF1DWSUzgiqsyYjY,This Is Triggerfinger
rock,37i9dQZF1DX40RZ67r0X8p,Rock Roadtrip
rock,37i9dQZF1DXd0ZFXhY0CRF,Women of Rock
rock,37i9dQZF1DX0uqkwkR49kK,Prog Rock Monsters
rock,37i9dQZF1DXa6YOhGMjjgx,Totally Alt
rock,37i9dQZF1DWZryfp6NSvtz,All New Rock
rock,37i9dQZF1DWVwr24yj95lH,Post-Grunge
rock,37i9dQZF1DWXMg4uP5o3dm,Alternative Beats
rock,37i9dQZF1DX7k3T9O9bscd,Neo-Psychedelic Rock
rock,37i9dQZF1DX0KQrbsfHQvG,Rise Up
rock,37i9dQZF1DX9wa6XirBPv8,Emo Forever
rock,37i9dQZF1DX6ujZpAN0v9r,Dreamy & Distorted
rock,37i9dQZF1DWT2jS7NwYPVI,New Noise
rock,37i9dQZF1DWUv0cTKdT8jJ,Volume
rock,37i9dQZF1DX5W4wuxak2hE,Power Pop
rock,37i9dQZF1DX1lwxXvReaux,Workday: Rock Classics
rock,37i9dQZF1DX98f0uoU1Pcs,Garage Jams
rock,37i9dQZF1DXbR32Ldau7WM,Big in Japan
rock,37i9dQZF1DWZkHEX2YHpDV,The Scene
rock,37i9dQZF1DX78toxP7mOaJ,Fresh Finds: Six Strings
rock,37i9dQZF1DX8N5WI3frRng,Oasis: Supersonic
rock,37i9dQZF1DX6rVyqO2FaN8,Still Hot
