category,playlist_id,playlist_name
pop,37i9dQZF1DWSBi5svWQ9Nk,Top Hits NL
pop,37i9dQZF1DXb5BKLTO7ULa,New Music Friday NL
pop,37i9dQZF1DX2fMaj5GfMh3,Fresh Pop
pop,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits
pop,37i9dQZF1DXdKMCnEhDnDL,Beste van NL
pop,37i9dQZF1DXbYM3nMM0oPk,Mega Hit Mix
pop,37i9dQZF1DX4pUKG1kS0Ac,Guilty Pleasures
pop,37i9dQZF1DX3fVDvRBemdr,Liever Hollands
pop,37i9dQZF1DWUX3x84bv557,Je Moerstaal
pop,37i9dQZF1DX0s5kDXi1oC5,Hit Rewind
pop,37i9dQZF1DX4VvfRBFClxm,Acoustic Hits
pop,37i9dQZF1DWYSNbqvqvhBQ,Stay Tuned!
pop,37i9dQZF1DXb1cKZ3eM1zf,Pinkpop 50 jaar
pop,3UjnNagnNyv7ZnF9DW4TQn,Top 50 Nederland (Top 50 week 23)
pop,37i9dQZF1DWTwnEm1IYyoj,Soft Pop Hits
pop,37i9dQZF1DWUa8ZRTfalHk,Pop Rising
pop,37i9dQZF1DWVxqA801UP5W,Massive Pop Remixes
pop,37i9dQZF1DX5CdVP4rz81C,Fresh & Chill
pop,37i9dQZF1DX3WvGXE8FqYX,Women of Pop
pop,37i9dQZF1DWX3xqQKu0Sgn,Pop Acoustic
pop,37i9dQZF1DX1IeqVkK7Ebc,Chilled Pop Hits
pop,37i9dQZF1DWYs83FtTMQFw,Hot Rhythmic
pop,37i9dQZF1DWWqNV5cS50j6,Anti Pop
pop,37i9dQZF1DXaPCIWxzZwR1,Pop Sauce
pop,37i9dQZF1DX3S2ONCFIYHU,Made In Belgium!
pop,37i9dQZF1DXa6nwj9J2RnE,Troubadour
pop,37i9dQZF1DWUxHPh2rEiHr,Global X
pop,37i9dQZF1DX0MLFaUdXnjA,Everyday Favorites
pop,37i9dQZF1DX1N5uK98ms5p,Teen Party
pop,37i9dQZF1DWY8U6Zq7nvbE,Hot Acoustics
pop,37i9dQZF1DX8vwRmUsEIMT,All New All Now
pop,0cS6eQ6y8jki1Khi5F2TxG,Girls Only
pop,37i9dQZF1DWWEcRhUVtL8n,Indie Pop
pop,37i9dQZF1DWXetIPpoiRSb,New Pop Revolution
pop,37i9dQZF1DXcTieYAg7jq1,Retro Pop
pop,37i9dQZF1DX8f6LHxMjnzD,Singled Out
pop,37i9dQZF1DX3LyU0mhfqgP,Out Now
pop,37i9dQZF1DXdwmD5Q7Gxah,Left of Center
pop,7JXJKP3xMvIMbEBBGApTPQ,Pop Hits The Spot
pop,37i9dQZF1DX3HYlktiFpE6,All A Cappella
pop,0Z2OWUvb1TYbglOciU6s3Y,Love For Pop
pop,37i9dQZF1DX3u9TSHqpdJC,Fresh Finds: Poptronix
pop,37i9dQZF1DX6rVyqO2FaN8,Still Hot
