category,playlist_id,playlist_name
punk,37i9dQZF1DX3LDIBRoaCDQ,Classic Punk
punk,37i9dQZF1DX3MU5XUozve7,Skatepark Punks
punk,37i9dQZF1DXa9wYJr1oMFq,Pop Punk Powerhouses
punk,37i9dQZF1DX1ewVhAJ17m4,Pop Punk's Not Dead
punk,37i9dQZF1DXaGNG7NmtmZv,Classic Hardcore
punk,37i9dQZF1DXd6tJtr4qeot,Punk Essentials
punk,37i9dQZF1DXb1IUaS6F7Z8,Celtic Punk
punk,37i9dQZF1DXasneILDRM7B,Pure Pop Punk
punk,37i9dQZF1DX7WJ4yDmRK8R,The Essential Ska
punk,37i9dQZF1DX0KQrbsfHQvG,Rise Up
punk,37i9dQZF1DX9wa6XirBPv8,Emo Forever
punk,37i9dQZF1DXcBkxDaAQX0a,Punk Unplugged
punk,37i9dQZF1DX3YlUroplxjF,Crash Course
punk,37i9dQZF1DWU0FBqUeZYeN,The Road to Punk Rock
punk,37i9dQZF1DX1fmyMdW2PaL,Complete Chaos
punk,37i9dQZF1DX0KpeLFwA3tO,New Punk Tracks
punk,37i9dQZF1DXaDzsRodF91I,Covered In Punk
punk,37i9dQZF1DX98f0uoU1Pcs,Garage Jams
punk,37i9dQZF1DXdJa941ExayM,Punk Unleashed
punk,37i9dQZF1DWZkHEX2YHpDV,The Scene
punk,37i9dQZF1DX1aYJMdIFYsC,Steampunk
punk,37i9dQZF1DXb2cYklA89lm,Hot Rods & Horror Shows
punk,7smcyWmMxpr2nqnefrh792,Punk-O-Rama
punk,37i9dQZF1DX1zG0qRnyaQ3,Political Punks
punk,37i9dQZF1DX9Mqxt6NLTDY,All Things Post
